Ant Fraction 	 w1 	 w2 	 x 	 PercentTrapped 	 Inlower 	 Inupper
0.1 	 0.1 	 0.1 	 5 	 70.0 	 70.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 70.0 	 70.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 70.0 	 70.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 70.0 	 70.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 80.0 	 70.0 	 10.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
0.1 	 0.1 	 0.1 	 5 	 100.0 	 100.0 	 0.0
