t	n	n1	n2
0 	 1.0 	 1.0 	 0.0
1 	 1.0 	 1.0 	 0.0
2 	 1.0 	 1.0 	 0.0
3 	 1.0 	 1.0 	 0.0
4 	 1.0 	 1.0 	 0.0
5 	 1.0 	 1.0 	 0.0
6 	 1.0 	 1.0 	 0.0
7 	 1.0 	 1.0 	 0.0
8 	 1.0 	 1.0 	 0.0
9 	 1.0 	 1.0 	 0.0
10 	 1.0 	 1.0 	 0.0
11 	 1.0 	 1.0 	 0.0
12 	 1.0 	 1.0 	 0.0
13 	 1.0 	 1.0 	 0.0
14 	 1.0 	 1.0 	 0.0
15 	 1.0 	 1.0 	 0.0
16 	 1.0 	 1.0 	 0.0
17 	 1.0 	 1.0 	 0.0
18 	 1.0 	 1.0 	 0.0
19 	 1.0 	 1.0 	 0.0
20 	 1.0 	 1.0 	 0.0
21 	 1.0 	 1.0 	 0.0
22 	 1.0 	 1.0 	 0.0
23 	 1.0 	 1.0 	 0.0
24 	 1.0 	 1.0 	 0.0
25 	 1.0 	 1.0 	 0.0
26 	 1.0 	 1.0 	 0.0
27 	 1.0 	 1.0 	 0.0
28 	 1.0 	 1.0 	 0.0
29 	 1.0 	 1.0 	 0.0
30 	 1.0 	 1.0 	 0.0
31 	 1.0 	 1.0 	 0.0
32 	 1.0 	 1.0 	 0.0
33 	 1.0 	 1.0 	 0.0
34 	 1.0 	 1.0 	 0.0
35 	 1.0 	 1.0 	 0.0
36 	 1.0 	 1.0 	 0.0
37 	 1.0 	 1.0 	 0.0
38 	 1.0 	 1.0 	 0.0
39 	 1.0 	 1.0 	 0.0
40 	 1.0 	 1.0 	 0.0
41 	 1.0 	 1.0 	 0.0
42 	 1.0 	 1.0 	 0.0
43 	 1.0 	 1.0 	 0.0
44 	 1.0 	 1.0 	 0.0
45 	 1.0 	 1.0 	 0.0
46 	 1.0 	 1.0 	 0.0
47 	 1.0 	 0.8 	 0.2
48 	 1.0 	 0.8 	 0.2
49 	 1.0 	 0.8 	 0.2
50 	 1.0 	 0.7 	 0.3
51 	 1.0 	 0.7 	 0.3
52 	 1.0 	 0.7 	 0.3
53 	 1.0 	 0.7 	 0.3
54 	 1.0 	 0.7 	 0.3
55 	 1.0 	 0.7 	 0.3
56 	 1.0 	 0.7 	 0.3
57 	 1.0 	 0.7 	 0.3
58 	 1.0 	 0.7 	 0.3
59 	 1.0 	 0.7 	 0.3
60 	 1.0 	 0.7 	 0.3
61 	 1.0 	 0.7 	 0.3
62 	 1.0 	 0.7 	 0.3
63 	 1.0 	 0.7 	 0.3
64 	 1.0 	 0.7 	 0.3
65 	 0.9 	 0.7 	 0.2
66 	 0.9 	 0.7 	 0.2
67 	 0.9 	 0.7 	 0.2
68 	 0.9 	 0.7 	 0.2
69 	 0.9 	 0.7 	 0.2
70 	 0.9 	 0.7 	 0.2
71 	 0.9 	 0.7 	 0.2
72 	 0.9 	 0.7 	 0.2
73 	 0.9 	 0.7 	 0.2
74 	 0.9 	 0.7 	 0.2
75 	 0.9 	 0.7 	 0.2
76 	 0.9 	 0.7 	 0.2
77 	 0.9 	 0.7 	 0.2
78 	 0.9 	 0.7 	 0.2
79 	 0.9 	 0.7 	 0.2
80 	 0.9 	 0.7 	 0.2
81 	 0.9 	 0.7 	 0.2
82 	 0.8 	 0.7 	 0.1
83 	 0.8 	 0.7 	 0.1
84 	 0.8 	 0.7 	 0.1
85 	 0.8 	 0.7 	 0.1
86 	 0.8 	 0.7 	 0.1
87 	 0.8 	 0.7 	 0.1
88 	 0.8 	 0.7 	 0.1
89 	 0.8 	 0.7 	 0.1
90 	 0.8 	 0.7 	 0.1
91 	 0.8 	 0.7 	 0.1
92 	 0.8 	 0.7 	 0.1
93 	 0.8 	 0.7 	 0.1
94 	 0.8 	 0.7 	 0.1
95 	 0.8 	 0.7 	 0.1
96 	 0.8 	 0.7 	 0.1
97 	 0.8 	 0.7 	 0.1
98 	 0.8 	 0.7 	 0.1
99 	 0.8 	 0.7 	 0.1
100 	 0.8 	 0.7 	 0.1
